week_ending,month,week_of_month,week_of_year,store,concept,sales,group_meal,guest_count
4/30/2017,Apr,4,17,183,Rudys,240584,49704.84,10563
4/30/2017,Apr,4,17,360,Rudys,225628,56959.13,8910
5/7/2017,May,1,18,MF1,Mighty Fine,57322,0,5867
5/7/2017,May,1,18,MF2,Mighty Fine,50203,0,5264
5/7/2017,May,1,18,MF3,Mighty Fine,54705,0,5731
5/7/2017,May,1,18,MF4,Mighty Fine,59630,0,6383
5/7/2017,May,1,18,MFT1,Mighty Fine,3939,0,286
5/7/2017,May,1,18,MFT2,Mighty Fine,22564,0,2242
5/7/2017,May,1,18,Lamar,Rudys,0,0,0
5/7/2017,May,1,18,620,Rudys,129619,17629.8,6068
5/7/2017,May,1,18,Round Rock,Rudys,214728,28987.44,9886
5/7/2017,May,1,18,183,Rudys,237326,47765.94,10495
5/7/2017,May,1,18,360,Rudys,226717,51953.11,9108
5/14/2017,May,2,19,MF1,Mighty Fine,54780,0,5567
5/14/2017,May,2,19,MF2,Mighty Fine,50330,0,5175
5/14/2017,May,2,19,MF3,Mighty Fine,52924,0,5516
5/14/2017,May,2,19,MF4,Mighty Fine,55862,0,6067
5/14/2017,May,2,19,MFT1,Mighty Fine,0,0,0
5/14/2017,May,2,19,MFT2,Mighty Fine,20509,0,658
5/14/2017,May,2,19,Lamar,Rudys,0,0,0
5/14/2017,May,2,19,620,Rudys,137362,19628.96,6250
5/14/2017,May,2,19,Round Rock,Rudys,254136,43412.69,11228
5/14/2017,May,2,19,183,Rudys,251464,48337.08,11294
5/14/2017,May,2,19,360,Rudys,236232,57876.5,9424
5/21/2017,May,3,20,MF1,Mighty Fine,60496,0,6218
5/21/2017,May,3,20,MF2,Mighty Fine,51828,0,5406
5/21/2017,May,3,20,MF3,Mighty Fine,54564,0,5682
5/21/2017,May,3,20,MF4,Mighty Fine,60522,0,6484
5/21/2017,May,3,20,MFT1,Mighty Fine,5926,0,386
5/21/2017,May,3,20,MFT2,Mighty Fine,21176,0,2172
5/21/2017,May,3,20,Lamar,Rudys,0,0,0
5/21/2017,May,3,20,620,Rudys,134459,19162.74,6148
5/21/2017,May,3,20,Round Rock,Rudys,221585,30669.46,10169
5/21/2017,May,3,20,183,Rudys,237984,43844.74,10860
5/21/2017,May,3,20,360,Rudys,237166,68238.87,9102
5/28/2017,May,4,21,MF1,Mighty Fine,58348,0,5991
5/28/2017,May,4,21,MF2,Mighty Fine,52376,0,5471
5/28/2017,May,4,21,MF3,Mighty Fine,57914,0,6004
5/28/2017,May,4,21,MF4,Mighty Fine,59625,0,6359
5/28/2017,May,4,21,MFT1,Mighty Fine,0,0,0
5/28/2017,May,4,21,MFT2,Mighty Fine,21979,0,2232
5/28/2017,May,4,21,Lamar,Rudys,0,0,0
5/28/2017,May,4,21,620,Rudys,140988,21756.76,6285
5/28/2017,May,4,21,Round Rock,Rudys,253115,49614.58,10819
5/28/2017,May,4,21,183,Rudys,262853,60495.42,11203
5/28/2017,May,4,21,360,Rudys,245053,60581.77,9721
6/4/2017,May,5,22,MF1,Mighty Fine,61458,0,6356
6/4/2017,May,5,22,MF2,Mighty Fine,56005,0,5905
6/4/2017,May,5,22,MF3,Mighty Fine,62122,0,6570
6/4/2017,May,5,22,MF4,Mighty Fine,72226,0,7844
6/4/2017,May,5,22,MFT1,Mighty Fine,0,0,0
6/4/2017,May,5,22,MFT2,Mighty Fine,21074,0,2148
6/4/2017,May,5,22,Lamar,Rudys,0,0,0
6/4/2017,May,5,22,620,Rudys,159290,30206.87,6811
6/4/2017,May,5,22,360,Rudys,232752,51879.88,9696
6/4/2017,May,5,22,Round Rock,Rudys,278077,54142.45,12038
6/4/2017,May,5,22,183,Rudys,268546,56931.68,11696
6/11/2017,Jun,1,23,MF1,Mighty Fine,56985,0,5873
6/11/2017,Jun,1,23,MF2,Mighty Fine,54225,0,5711
6/11/2017,Jun,1,23,MF3,Mighty Fine,58469,0,6192
6/11/2017,Jun,1,23,MF4,Mighty Fine,63990,0,6948
6/11/2017,Jun,1,23,MFT1,Mighty Fine,0,0,0
6/11/2017,Jun,1,23,MFT2,Mighty Fine,20641,0,2072
6/11/2017,Jun,1,23,Lamar,Rudys,0,0,0
6/11/2017,Jun,1,23,620,Rudys,130340,19768.97,5856
6/11/2017,Jun,1,23,Round Rock,Rudys,232136,31652.4,10605
6/11/2017,Jun,1,23,360,Rudys,215178,40064.98,9125
6/11/2017,Jun,1,23,183,Rudys,242605,51577.24,10591
6/18/2017,Jun,2,24,MF1,Mighty Fine,56932,0,5892
6/18/2017,Jun,2,24,MF2,Mighty Fine,51470,0,5387
6/18/2017,Jun,2,24,MF3,Mighty Fine,57569,0,6077
6/18/2017,Jun,2,24,MF4,Mighty Fine,59500,0,6517
6/18/2017,Jun,2,24,MFT1,Mighty Fine,1017,0,112
6/18/2017,Jun,2,24,MFT2,Mighty Fine,19813,0,2001
6/18/2017,Jun,2,24,Lamar,Rudys,0,0,0
6/18/2017,Jun,2,24,620,Rudys,143035,19275.92,6523
6/18/2017,Jun,2,24,Round Rock,Rudys,247437,33655.73,11467
6/18/2017,Jun,2,24,183,Rudys,246877,45065.18,11120
6/18/2017,Jun,2,24,360,Rudys,239807,46304.26,9949
6/25/2017,Jun,3,25,MF1,Mighty Fine,56378,0,5782
6/25/2017,Jun,3,25,MF2,Mighty Fine,50715,0,5259
6/25/2017,Jun,3,25,MF3,Mighty Fine,57480,0,6019
6/25/2017,Jun,3,25,MF4,Mighty Fine,58622,0,6351
6/25/2017,Jun,3,25,MFT1,Mighty Fine,0,0,0
6/25/2017,Jun,3,25,MFT2,Mighty Fine,18914,0,1927
6/25/2017,Jun,3,25,Lamar,Rudys,0,0,0
6/25/2017,Jun,3,25,620,Rudys,124983,17049.57,5754
6/25/2017,Jun,3,25,Round Rock,Rudys,213543,28968.93,9920
6/25/2017,Jun,3,25,360,Rudys,206997,44274.08,8570
6/25/2017,Jun,3,25,183,Rudys,232969,47228.82,10237
7/2/2017,Jun,4,26,MF1,Mighty Fine,59714,0,6211
7/2/2017,Jun,4,26,MF2,Mighty Fine,50728,0,5246
7/2/2017,Jun,4,26,MF3,Mighty Fine,54873,0,5825
7/2/2017,Jun,4,26,MF4,Mighty Fine,57326,0,6209
7/2/2017,Jun,4,26,MFT1,Mighty Fine,257,0,18
7/2/2017,Jun,4,26,MFT2,Mighty Fine,19019,0,1911
7/2/2017,Jun,4,26,Lamar,Rudys,0,0,0
7/2/2017,Jun,4,26,620,Rudys,143015,25226.85,6149
7/2/2017,Jun,4,26,Round Rock,Rudys,230642,36829.97,10320
7/2/2017,Jun,4,26,183,Rudys,239404,44684.47,10715
7/2/2017,Jun,4,26,360,Rudys,226086,48395.46,9271
7/9/2017,Jul,1,27,MF1,Mighty Fine,58817,0,6045
7/9/2017,Jul,1,27,MF2,Mighty Fine,57893,0,5954
7/9/2017,Jul,1,27,MF3,Mighty Fine,60322,0,6344
7/9/2017,Jul,1,27,MF4,Mighty Fine,60978,0,6583
7/9/2017,Jul,1,27,MFT1,Mighty Fine,3685,0,325
7/9/2017,Jul,1,27,MFT2,Mighty Fine,18066,0,1789
7/9/2017,Jul,1,27,Lamar,Rudys,0,0,0
7/9/2017,Jul,1,27,620,Rudys,147900,21520.58,6597
7/9/2017,Jul,1,27,Round Rock,Rudys,252614,38516.44,11529
7/9/2017,Jul,1,27,183,Rudys,249761,41414.53,11462
7/9/2017,Jul,1,27,360,Rudys,254410,49943.09,10647
7/16/2017,Jul,2,28,MF1,Mighty Fine,58422,0,6062
7/16/2017,Jul,2,28,MF2,Mighty Fine,54644,0,5679
7/16/2017,Jul,2,28,MF3,Mighty Fine,57551,0,6093
7/16/2017,Jul,2,28,MF4,Mighty Fine,60449,0,6501
7/16/2017,Jul,2,28,MFT1,Mighty Fine,0,0,0
7/16/2017,Jul,2,28,MFT2,Mighty Fine,17455,0,1767
7/16/2017,Jul,2,28,Lamar,Rudys,0,0,0
7/16/2017,Jul,2,28,620,Rudys,126781,14497.12,5993
7/16/2017,Jul,2,28,Round Rock,Rudys,212684,27608.41,9952
7/16/2017,Jul,2,28,360,Rudys,205166,36130.02,8826
7/16/2017,Jul,2,28,183,Rudys,232310,39682.76,10560
7/23/2017,Jul,3,29,MF1,Mighty Fine,58489,0,6086
7/23/2017,Jul,3,29,MF2,Mighty Fine,51864,0,5356
7/23/2017,Jul,3,29,MF3,Mighty Fine,56661,0,6023
7/23/2017,Jul,3,29,MF4,Mighty Fine,55482,0,5943
7/23/2017,Jul,3,29,MFT1,Mighty Fine,0,0,0
7/23/2017,Jul,3,29,MFT2,Mighty Fine,18486,0,1855
7/23/2017,Jul,3,29,Lamar,Rudys,0,0,0
7/23/2017,Jul,3,29,620,Rudys,123406,14288.13,5834
7/23/2017,Jul,3,29,Round Rock,Rudys,221732,28763.26,10325
7/23/2017,Jul,3,29,360,Rudys,197260,32619.36,8592
7/23/2017,Jul,3,29,183,Rudys,229543,43136.73,10328
7/30/2017,Jul,4,30,MF1,Mighty Fine,58212,0,6020
7/30/2017,Jul,4,30,MF2,Mighty Fine,52629,0,5507
7/30/2017,Jul,4,30,MF3,Mighty Fine,55849,0,5907
7/30/2017,Jul,4,30,MF4,Mighty Fine,58745,0,6307
7/30/2017,Jul,4,30,MFT1,Mighty Fine,0,0,0
7/30/2017,Jul,4,30,MFT2,Mighty Fine,16414,0,1669
7/30/2017,Jul,4,30,Lamar,Rudys,0,0,0
7/30/2017,Jul,4,30,620,Rudys,127687,16361.4,5874
7/30/2017,Jul,4,30,Round Rock,Rudys,219976,28241.49,10186
7/30/2017,Jul,4,30,360,Rudys,198278,31432.21,8796
7/30/2017,Jul,4,30,183,Rudys,238950,46019.18,10619
8/6/2017,Aug,1,31,MF1,Mighty Fine,58565,0,6094
8/6/2017,Aug,1,31,MF2,Mighty Fine,52887,0,5588
8/6/2017,Aug,1,31,MF3,Mighty Fine,58635,0,6227
8/6/2017,Aug,1,31,MF4,Mighty Fine,59472,0,6416
8/6/2017,Aug,1,31,MFT1,Mighty Fine,0,0,0
8/6/2017,Aug,1,31,MFT2,Mighty Fine,18122,0,1827
8/6/2017,Aug,1,31,Lamar,Rudys,0,0,0
8/6/2017,Aug,1,31,620,Rudys,134877,18584.36,6216
8/6/2017,Aug,1,31,Round Rock,Rudys,217071,24345.42,10345
8/6/2017,Aug,1,31,360,Rudys,206451,41048.61,8802
8/6/2017,Aug,1,31,183,Rudys,243361,52215.2,10489
8/13/2017,Aug,2,32,MF1,Mighty Fine,56174,0,5898
8/13/2017,Aug,2,32,MF2,Mighty Fine,54952,0,5802
8/13/2017,Aug,2,32,MF3,Mighty Fine,61864,0,6565
8/13/2017,Aug,2,32,MF4,Mighty Fine,62928,0,6807
8/13/2017,Aug,2,32,MFT1,Mighty Fine,0,0,0
8/13/2017,Aug,2,32,MFT2,Mighty Fine,19085,0,1920
8/13/2017,Aug,2,32,Lamar,Rudys,0,0,0
8/13/2017,Aug,2,32,620,Rudys,133023,17400.87,6108
8/13/2017,Aug,2,32,Round Rock,Rudys,221890,31095.99,10273
8/13/2017,Aug,2,32,360,Rudys,203848,38978.85,8660
8/13/2017,Aug,2,32,183,Rudys,244535,48698.37,10904
8/20/2017,Aug,3,33,MF1,Mighty Fine,60239,0,6337
8/20/2017,Aug,3,33,MF2,Mighty Fine,54588,0,5757
8/20/2017,Aug,3,33,MF3,Mighty Fine,59047,0,6267
